matricula,nombre,apellido,telefono,especialidad,activo
24-394-7265,Tomi,Domnick,+54 (464) 6159424,alergologia,true
03-655-4353,Marmaduke,Bynold,+54 (954) 3814217,psiquiatria,true
65-204-9201,Sargent,Sinnatt,+54 (209) 3932950,neurologia,true
50-606-6194,Tamiko,Hammatt,+54 (831) 4533429,pediatria,false
53-750-1741,Isidore,Wolfenden,+54 (424) 3601371,genetica,true
94-932-7463,Sharia,Jiroutka,+54 (845) 5948067,estomatologia,true
72-778-2712,Dinah,Hodinton,+54 (195) 1293907,gastroenterologia,true
43-848-5788,Lanny,Fer,+54 (681) 6037368,cardiologia,false
32-651-6784,Madison,Scuffham,+54 (420) 7066978,medicina intensiva,true
15-654-3244,Basile,Eggerton,+54 (789) 1007403,farmacologia clinica,true
83-220-1663,Ysabel,Bulloch,+54 (881) 6168491,medicina interna,true
16-583-2821,Amalita,Leyes,+54 (299) 9598519,oncologia radioterapica,true
62-429-1655,Livvyy,Strawbridge,+54 (663) 3324227,oncologia radioterapica,true
52-544-9949,Xymenes,Duhig,+54 (751) 9460946,toxicologia,true
12-957-6948,Chrystel,Stollmeyer,+54 (906) 8793295,hematologia,true
02-442-8498,Rhiamon,Wiltshire,+54 (888) 6389729,gastroenterologia,true
13-093-1090,Stephani,Eyree,+54 (913) 2636791,angiologia,true
26-217-8400,Elizabeth,Lidgertwood,+54 (839) 6331534,anestesiologia,true
01-143-3731,Dionisio,Partleton,+54 (884) 2708651,medicina interna,false
59-037-5078,Isiahi,Whiffen,+54 (258) 1798653,geriatria,true
29-108-0219,Wren,Jovis,+54 (102) 3916523,neumologia,true
67-832-7668,Dody,Crowden,+54 (169) 6678533,geriatria,true
90-855-0447,Xaviera,Maps,+54 (564) 2703865,oncologia medica,true
86-423-6699,Leora,Mattiello,+54 (466) 6823467,cardiologia,true
48-107-6564,Bailie,Merchant,+54 (954) 5026481,oncologia radioterapica,true
38-791-8174,Vina,Duerden,+54 (357) 4034269,estomatologia,true
05-873-6635,Pace,Petris,+54 (317) 9758144,medicina forense,true
00-395-2226,Loise,Atack,+54 (887) 8029745,anestesiologia,true
76-205-7665,Norri,De Ferrari,+54 (855) 2297053,medicina interna,true
50-863-6337,Adelina,Chevalier,+54 (195) 3980878,genetica,true
